,noise_level,ari,size_mod0,size_mod1,size_mod2,size_mod3,size_mod4,size_mod5,size_mod6,size_mod7,size_mod8,size_mod9,size_mod10,size_mod11,size_mod12,size_mod13,size_mod14,size_mod15,size_mod16,size_mod17,size_mod18,size_mod19
0,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
1,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
2,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
3,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
4,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
5,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
6,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
7,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
8,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
9,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
10,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
11,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
12,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
13,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
14,0.05,1.0,2182,2079,1761,1365,1207,1244,617,1464,2335,2003,1258,2156,1174,2388,942,1224,1154,1038,1274,841
